text,location,date,textHuman
"[""covid"",""wird"",""ebenfalls"",""beatmete"",""menschen"",""zurucklassen"",""fur"",""sie"",""gilt"",""dann"",""ebenfalls"",""ipregnichtmeingesetz"",""sie"",""httpstcolikkjqni""]","[10.90156,54.29576]",Sun Mar 29 11:51:30 +0000 2020,#COVIDー19 wird ebenfalls beatmete Menschen zurücklassen. Für sie gilt dann ebenfalls #IPReG_nicht_mein_Gesetz. Sie… https://t.co/LikKjQn7i3
"[""gacciob"",""ce"",""quil"",""y"",""de"",""bien"",""avec"",""le"",""confinement"",""cest"",""que"",""tes"",""boss"",""severtuent"",""mentir"",""la"",""tele"",""le"",""plus"",""sincerement"",""possible"",""mais"",""q""]","[1.09005,49.40972]",Sun Mar 29 11:51:30 +0000 2020," @GaccioB: Ce qu’il y a de bien avec le confinement c’est que tes boss s’évertuent à mentir à la télé le plus sincèrement possible mais q…"
"[""kennylawrence"",""case"",""not"",""know"",""clinical"",""trials"",""tests"",""human"",""subjects"",""covid"",""vaccine"",""begun""]","[5.23494,11.43522]",Sun Mar 29 11:51:30 +0000 2020," @Kennylawrence_: In case you didn't know, clinical trials of tests on human subjects for Covid19 vaccine has begun."
"[""mefaniu"",""tributetodoctorsandforces"",""special"",""flight"",""includes"",""chinese"",""doctors"",""specialists"",""will"",""remain"",""p""]","[67.99298,24.3944]",Sun Mar 29 11:51:30 +0000 2020," @mefani4u: #TributeToDoctorsAndForces

Special flight also includes 8 Chinese doctors, specialists in #coronavirus, who will remain in P…"
"[""theskandar"",""ravishankar"",""died"",""fear"",""none"",""relatives"",""buoyup"",""catafalque"",""muslim""]","[78.45636,17.38405]",Sun Mar 29 11:51:30 +0000 2020," @TheSkandar: Ravishankar died in UP because of the #Coronavirus fear, none of his relatives came to buoy-up the catafalque.

His Muslim…"
"[""dailyrecord"",""lisa"",""pike"",""completed"",""first"",""shift"",""specially"",""made"",""ward"",""home"",""counties"",""hospital"",""week"",""sh""]","[147.40666,-19.57393]",Sun Mar 29 11:51:30 +0000 2020," @Daily_Record: Lisa Pike completed her first shift in a specially made #coronavirus ward at a Home Counties hospital this week - here sh…"
"[""vabvox"",""six"",""weeks"",""ago"",""when"",""trump"",""ignoring"",""sent"",""tons"",""ppes"",""china"",""doctors"",""amp"",""nurses"",""dying""]","[-76.50745,38.3004]",Sun Mar 29 11:51:30 +0000 2020," @VABVOX: Six weeks ago when Trump was ignoring #coronavirus here, he sent 17.8 TONS of PPEs to China. Now doctors &amp; nurses are dying in…"
"[""anhell"",""jesuscintora"",""httpstcovuuhgeh""]","[-78.79336,21.73748]",Sun Mar 29 11:51:30 +0000 2020,@anhell74 @JesusCintora https://t.co/VUUH5GE6H4
"[""un"",""people"",""world"",""realtime"",""accurate"",""information"",""covid"",""directly"",""whatsapp"",""heres""]","[116.7678,-31.88809]",Sun Mar 29 11:51:30 +0000 2020," @UN: People all over the world can now get real-time, accurate information about #COVID19 directly from @WHO through @Whatsapp. 

Here's…"
"[""loool"",""its"",""week"",""im"",""going"",""crazy""]","[150.73515,-33.64656]",Sun Mar 29 11:51:30 +0000 2020,LOOOL it’s been a week and I’m going crazy 😂
"[""carolduncan"",""meanwhile"",""thousands"",""australians"",""displaced"",""losing"",""everything"",""bushfires"",""going"",""during"",""covi""]","[151.20732,-33.86785]",Sun Mar 29 11:51:31 +0000 2020," @carolduncan: Meanwhile, how are the many thousands of Australians displaced after losing everything in the bushfires going during #covi…"
"[""skynews"",""govt"",""says"",""lockdown"",""depends"",""behaviour"",""public"",""expert"",""says"",""last"",""until"",""june"",""httpstcoyewkdu""]","[151.74739,-32.91388]",Sun Mar 29 11:51:31 +0000 2020," @SkyNews: #Coronavirus: Govt says lockdown depends on behaviour of public, but expert says it should last until June https://t.co/yEWKdU…"
"[""stopmlpetjlm"",""tweet"",""du"",""premier"",""mars"",""apres"",""les"",""recommandations"",""du"",""gouvernement"",""et"",""les"",""gestes"",""barrieres"",""preconises"",""si"",""nous"",""etions"",""mecha""]","[1.7726,45.81376]",Sun Mar 29 11:51:31 +0000 2020," @stopMLPetJLM: Tweet du premier mars. Après les recommandations du gouvernement et les gestes barrières préconisés.
Si nous étions mécha…"
"[""drisapantami"",""beg"",""allah"",""swt"",""exalted"",""namesalhayyu"",""amp"",""alqayyum"",""heal"",""tested"",""positive"",""n""]","[5.23494,11.43522]",Sun Mar 29 11:51:31 +0000 2020," @DrIsaPantami: We beg Allah (SWT) with His most exalted names-AlHayyu &amp; AlQayyum to heal all those tested positive with CoronaVirus in N…"
"[""leonknight"",""no"",""one"",""aint"",""watching"",""colour"",""doctors"",""nurses"",""tbh"",""just"",""want"",""lives"",""saved"",""energy"",""not"",""nee""]","[-1.36926,52.14289]",Sun Mar 29 11:51:31 +0000 2020," @LeonKnight_: No one ain’t watching what colour the doctors or nurses are tbh, we just want lives to be saved.... This energy is not nee…"
"[""usnavy"",""potus"",""thank"",""selfless"",""assistance"",""war"",""against"",""covid"",""usscomfort""]","[-80.47922,25.44789]",Sun Mar 29 11:51:31 +0000 2020,@USNavy @POTUS Thank you for your selfless assistance IN this war against COVID19. #❤️USSCOMFO
"[""topmanly"",""efek"",""lockdown"",""wkkw"",""kebetulan"",""di"",""ruangan"",""koko"",""kerja"",""ga"",""ada"",""cctv"",""jd"",""mainin"",""kontol"",""wkkw"",""httpstcoduaxtjlcl""]","[101.44167,0.51667]",Sun Mar 29 11:51:31 +0000 2020," @TopManly69: Efek lockdown wkkw kebetulan di ruangan Koko kerja ga ada cctv jd mainin kontol wkkw https://t.co/duA9XTjlcL"
"[""arielheryanto"",""jadi"",""apa"",""yg"",""bikin"",""china"",""berhasil"",""dan"",""negara"",""lain"",""belum"",""berhasil"",""dalam"",""penerapan"",""lockdown"",""nya"",""ked"",""httpstcohnzshracs""]","[106.66417,-6.31694]",Sun Mar 29 11:51:31 +0000 2020,"@ariel_heryanto jadi apa yg bikin china berhasil dan negara lain ""belum berhasil"" dalam penerapan lockdown nya? ked… https://t.co/H1NZShraCs"
